dat_load,nam_brand_short,nam_country_short,nam_region_short,today_traffic,yesterday_traffic,weekly_avg_traffic,pct_vs_yesterday_traffic,pct_vs_weekly_traffic,today_purchase,yesterday_purchase,weekly_avg_purchase,pct_vs_yesterday_purchase,pct_vs_weekly_purchase,today_add_to_cart,yesterday_add_to_cart,weekly_avg_add_to_cart,pct_vs_yesterday_atc,pct_vs_weekly_atc,today_page_view,yesterday_page_view,weekly_avg_page_view,pct_vs_yesterday_pv,pct_vs_weekly_pv,today_bounce_rate_pct,yesterday_bounce_rate_pct,weekly_avg_bounce_rate_pct,diff_vs_yesterday_bounce_rate,diff_vs_weekly_bounce_rate,status_traffic,status_purchase
2026-05-23,CPB,CA,Americas,455,565,643.0,-19.47,-29.22,1,4,3.0,-75.0,-68.18,47,54,52.0,-12.96,-10.35,1288,1550,1673.0,-16.9,-23.01,54.98,53.67,50.52,1.31,4.46,WARNING,WARNING
2026-05-23,CPB,DE,EMEA,127,61,66.0,108.2,92.42,2,0,0.0,,600.0,14,0,4.0,,292.0,532,242,355.0,119.83,49.68,5.2,10.0,10.34,-4.8,-5.14,ALERT,ALERT
2026-05-23,CPB,ES,EMEA,171,162,130.0,5.56,31.97,0,0,1.0,,-100.0,5,7,6.0,-28.57,-20.45,749,594,565.0,26.09,32.63,6.27,6.44,7.53,-0.17,-1.26,ALERT,WARNING
2026-05-23,CPB,FR,EMEA,88,119,109.0,-26.05,-18.95,0,0,0.0,,-100.0,2,6,8.0,-66.67,-75.0,365,471,510.0,-22.51,-28.37,8.57,14.71,13.03,-6.13,-4.45,NORMAL,WARNING
2026-05-23,CPB,HK,CN,6808,17900,10946.0,-61.97,-37.8,6,12,8.0,-50.0,-23.64,135,164,199.0,-17.68,-32.21,12891,24954,17011.0,-48.34,-24.22,46.17,73.36,57.62,-27.2,-11.46,WARNING,WARNING
2026-05-23,CPB,ID,APAC,297,242,283.0,22.73,4.84,0,2,2.0,-100.0,-100.0,32,16,37.0,100.0,-13.85,1678,1349,1635.0,24.39,2.6,17.83,15.18,16.82,2.65,1.01,NORMAL,WARNING
2026-05-23,CPB,IT,EMEA,100,102,79.0,-1.96,26.13,0,0,1.0,,-100.0,0,0,2.0,,-100.0,366,313,297.0,16.93,23.29,10.2,10.05,9.38,0.15,0.82,ALERT,WARNING
2026-05-23,CPB,MY,APAC,212,208,184.0,1.92,14.95,0,1,1.0,-100.0,-100.0,5,30,17.0,-83.33,-71.07,823,1048,893.0,-21.47,-7.85,31.99,34.57,30.82,-2.59,1.17,NORMAL,WARNING
2026-05-23,CPB,TH,APAC,180,234,265.0,-23.08,-32.19,0,0,1.0,,-100.0,27,37,54.0,-27.03,-49.73,848,956,1168.0,-11.3,-27.42,14.44,19.85,15.37,-5.4,-0.93,WARNING,WARNING
2026-05-23,CPB,TW,APAC,1214,1226,1546.0,-0.98,-21.5,5,10,10.0,-50.0,-47.76,60,55,86.0,9.09,-30.12,7842,7669,10846.0,2.26,-27.69,19.11,20.82,21.5,-1.71,-2.39,WARNING,WARNING
2026-05-23,CPB,UK,EMEA,213,252,229.0,-15.48,-7.04,6,4,3.0,50.0,121.05,23,37,27.0,-37.84,-16.15,1006,1199,1080.0,-16.1,-6.83,11.33,13.66,12.86,-2.34,-1.54,NORMAL,ALERT
2026-05-23,CPB,US,Americas,9816,10035,7951.0,-2.18,23.45,288,279,199.0,3.23,44.41,2876,2713,2136.0,6.01,34.63,32460,31954,25454.0,1.58,27.52,44.67,44.34,43.6,0.33,1.07,ALERT,ALERT
2026-05-23,CPB,VN,APAC,328,326,369.0,0.61,-11.11,0,0,0.0,,,0,0,0.0,,,1147,1018,1164.0,12.67,-1.47,38.0,37.4,35.37,0.6,2.63,NORMAL,NORMAL
2026-05-23,DE,US,Americas,14066,13740,7690.0,2.37,82.91,647,644,325.0,0.47,99.25,4668,4354,2368.0,7.21,97.09,42262,40045,23093.0,5.54,83.01,43.98,44.41,41.52,-0.44,2.45,ALERT,ALERT
2026-05-23,IPSA,JP,JP,13027,13436,20884.0,-3.04,-37.62,394,317,547.0,24.29,-27.93,1646,1286,2187.0,27.99,-24.75,51621,46984,68228.0,9.87,-24.34,36.55,39.16,40.89,-2.61,-4.34,WARNING,WARNING
2026-05-23,NARS,BE,EMEA,448,414,600.0,8.21,-25.32,10,7,12.0,42.86,-16.67,61,88,168.0,-30.68,-63.75,1915,2074,2946.0,-7.67,-34.99,22.59,22.13,23.55,0.46,-0.96,WARNING,NORMAL
2026-05-23,NARS,BR,Americas,5413,4958,2429.0,9.18,122.81,9,11,8.0,-18.18,6.78,452,661,856.0,-31.62,-47.22,17960,15756,15203.0,13.99,18.14,48.07,45.15,36.74,2.92,11.33,ALERT,NORMAL
2026-05-23,NARS,CA,Americas,1599,1906,3319.0,-16.11,-51.82,11,10,113.0,10.0,-90.3,175,184,1095.0,-4.89,-84.01,4672,5264,14526.0,-11.25,-67.84,39.53,44.15,37.06,-4.62,2.47,WARNING,WARNING
2026-05-23,NARS,DE,EMEA,772,712,908.0,8.43,-15.02,8,5,10.0,60.0,-22.22,165,146,151.0,13.01,9.07,2880,2984,3460.0,-3.49,-16.75,24.35,27.22,26.62,-2.87,-2.27,NORMAL,WARNING
2026-05-23,NARS,ES,EMEA,1051,1171,1346.0,-10.25,-21.9,11,7,10.0,57.14,8.45,188,122,225.0,54.1,-16.28,4166,3872,4932.0,7.59,-15.53,26.21,36.85,29.02,-10.64,-2.81,WARNING,NORMAL
2026-05-23,NARS,EU,EMEA,813,552,579.0,47.28,40.31,2,1,3.0,100.0,-39.13,143,80,117.0,78.75,22.07,2810,1991,2350.0,41.14,19.57,29.3,31.41,31.25,-2.11,-1.95,ALERT,WARNING
2026-05-23,NARS,FR,EMEA,1031,976,1295.0,5.64,-20.36,17,17,24.0,0.0,-28.74,215,258,348.0,-16.67,-38.17,4897,4891,5750.0,0.12,-14.84,24.46,23.55,25.6,0.91,-1.14,WARNING,WARNING
2026-05-23,NARS,HK,CN,4469,4782,3933.0,-6.55,13.63,4,4,4.0,0.0,0.0,134,135,120.0,-0.74,11.67,7838,8714,7469.0,-10.05,4.95,56.24,56.42,57.47,-0.17,-1.23,NORMAL,NORMAL
2026-05-23,NARS,IE,EMEA,181,203,249.0,-10.84,-27.35,6,7,6.0,-14.29,-6.67,33,37,99.0,-10.81,-66.71,823,863,1215.0,-4.63,-32.27,33.49,29.1,29.76,4.39,3.73,WARNING,NORMAL
2026-05-23,NARS,IT,EMEA,441,474,707.0,-6.96,-37.6,6,3,7.0,100.0,-16.0,70,118,162.0,-40.68,-56.68,1894,2103,2648.0,-9.94,-28.47,25.14,28.07,29.02,-2.93,-3.88,WARNING,NORMAL
2026-05-23,NARS,JP,JP,27346,31707,25958.0,-13.75,5.35,324,544,383.0,-40.44,-15.34,1388,2349,1681.0,-40.91,-17.42,71689,94708,72229.0,-24.31,-0.75,59.64,51.97,57.43,7.67,2.21,NORMAL,NORMAL
2026-05-23,NARS,MY,APAC,117,105,121.0,11.43,-2.96,0,0,0.0,,,0,0,0.0,,,366,268,345.0,36.57,6.0,25.52,31.9,30.65,-6.38,-5.13,NORMAL,NORMAL
